CPU: 34.7%, Memory: 3005.62 MB (42.8%)
CPU: 32.8%, Memory: 3048.89 MB (43.6%)
CPU: 25.6%, Memory: 3048.89 MB (43.6%)
CPU: 26.1%, Memory: 3054.42 MB (43.6%)
CPU: 25.6%, Memory: 3054.42 MB (43.6%)
CPU: 26.2%, Memory: 3055.40 MB (43.6%)
CPU: 25.8%, Memory: 3055.39 MB (43.6%)
CPU: 25.7%, Memory: 3056.38 MB (43.6%)
CPU: 25.9%, Memory: 3056.38 MB (43.6%)
CPU: 25.9%, Memory: 3056.38 MB (43.6%)
CPU: 25.6%, Memory: 3057.12 MB (43.7%)
CPU: 26.1%, Memory: 3057.12 MB (43.7%)
CPU: 25.6%, Memory: 3057.85 MB (43.7%)
CPU: 25.8%, Memory: 3057.82 MB (43.7%)
CPU: 26.0%, Memory: 3058.07 MB (43.7%)
CPU: 25.8%, Memory: 3058.07 MB (43.7%)
CPU: 26.0%, Memory: 3058.07 MB (43.7%)
CPU: 25.6%, Memory: 3058.07 MB (43.7%)
CPU: 26.0%, Memory: 3058.07 MB (43.7%)
CPU: 25.8%, Memory: 3058.07 MB (43.7%)
CPU: 26.0%, Memory: 3058.07 MB (43.7%)
CPU: 25.6%, Memory: 3058.31 MB (43.7%)
CPU: 26.0%, Memory: 3058.31 MB (43.7%)
CPU: 25.7%, Memory: 3058.56 MB (43.7%)
CPU: 25.8%, Memory: 3058.56 MB (43.7%)
CPU: 25.9%, Memory: 3058.80 MB (43.7%)
CPU: 25.6%, Memory: 3059.05 MB (43.7%)
CPU: 26.0%, Memory: 3059.30 MB (43.7%)
CPU: 25.6%, Memory: 3059.30 MB (43.7%)
CPU: 25.6%, Memory: 3059.30 MB (43.7%)
CPU: 25.7%, Memory: 3059.30 MB (43.7%)
CPU: 26.1%, Memory: 3059.30 MB (43.7%)
CPU: 25.6%, Memory: 3059.30 MB (43.7%)
CPU: 26.0%, Memory: 3059.30 MB (43.7%)
CPU: 25.6%, Memory: 3059.54 MB (43.7%)
CPU: 25.8%, Memory: 3059.54 MB (43.7%)
CPU: 25.8%, Memory: 3059.79 MB (43.7%)
CPU: 25.9%, Memory: 3060.04 MB (43.7%)
CPU: 26.3%, Memory: 3060.28 MB (43.7%)
CPU: 25.7%, Memory: 3060.28 MB (43.7%)
CPU: 25.8%, Memory: 3060.52 MB (43.7%)
CPU: 26.0%, Memory: 3060.52 MB (43.7%)
CPU: 26.2%, Memory: 3060.77 MB (43.7%)
CPU: 25.6%, Memory: 3060.76 MB (43.7%)
CPU: 26.0%, Memory: 3061.01 MB (43.7%)
CPU: 26.0%, Memory: 3061.01 MB (43.7%)
CPU: 25.6%, Memory: 3061.01 MB (43.7%)
CPU: 26.0%, Memory: 3061.50 MB (43.7%)
CPU: 25.4%, Memory: 3061.75 MB (43.7%)
CPU: 26.2%, Memory: 3061.75 MB (43.7%)
CPU: 25.6%, Memory: 3061.98 MB (43.7%)
CPU: 25.9%, Memory: 3062.22 MB (43.7%)
CPU: 25.5%, Memory: 3062.22 MB (43.7%)
CPU: 25.8%, Memory: 3062.47 MB (43.7%)
CPU: 25.9%, Memory: 3062.47 MB (43.7%)
CPU: 25.8%, Memory: 3062.47 MB (43.7%)
CPU: 25.5%, Memory: 3062.71 MB (43.7%)
CPU: 25.8%, Memory: 3062.71 MB (43.7%)
CPU: 25.6%, Memory: 3062.71 MB (43.7%)
CPU: 25.9%, Memory: 3063.44 MB (43.7%)
CPU: 25.6%, Memory: 3063.44 MB (43.7%)
CPU: 25.6%, Memory: 3063.44 MB (43.7%)
CPU: 26.4%, Memory: 3063.44 MB (43.7%)
CPU: 25.7%, Memory: 3063.44 MB (43.7%)
CPU: 25.8%, Memory: 3063.93 MB (43.7%)
CPU: 25.5%, Memory: 3063.93 MB (43.7%)
CPU: 26.0%, Memory: 3063.93 MB (43.7%)
CPU: 25.7%, Memory: 3064.18 MB (43.7%)
CPU: 26.0%, Memory: 3064.67 MB (43.8%)
CPU: 25.6%, Memory: 3064.67 MB (43.8%)
CPU: 26.0%, Memory: 3064.92 MB (43.8%)
CPU: 25.3%, Memory: 3065.16 MB (43.8%)
CPU: 26.2%, Memory: 3065.41 MB (43.8%)
CPU: 25.8%, Memory: 3065.88 MB (43.8%)
CPU: 25.5%, Memory: 3065.88 MB (43.8%)
CPU: 27.5%, Memory: 3081.11 MB (44.0%)
CPU: 25.8%, Memory: 3081.11 MB (44.0%)
CPU: 25.6%, Memory: 3081.36 MB (44.0%)
CPU: 25.5%, Memory: 3081.60 MB (44.0%)
CPU: 25.8%, Memory: 3074.19 MB (43.9%)
CPU: 26.7%, Memory: 3080.59 MB (44.0%)
CPU: 29.1%, Memory: 3083.35 MB (44.0%)
CPU: 28.4%, Memory: 3083.91 MB (44.0%)
CPU: 26.1%, Memory: 3076.95 MB (43.9%)
CPU: 25.6%, Memory: 3076.95 MB (43.9%)
CPU: 26.4%, Memory: 3076.95 MB (43.9%)
CPU: 25.8%, Memory: 3076.94 MB (43.9%)
CPU: 25.6%, Memory: 3075.43 MB (43.9%)
CPU: 26.3%, Memory: 3075.93 MB (43.9%)
CPU: 26.2%, Memory: 3075.93 MB (43.9%)
