CPU: 25.1%, Memory: 2161.80 MB (31.9%)
CPU: 25.9%, Memory: 2161.80 MB (31.9%)
CPU: 25.8%, Memory: 2163.27 MB (32.0%)
CPU: 25.6%, Memory: 2163.27 MB (32.0%)
CPU: 25.8%, Memory: 2165.23 MB (32.0%)
CPU: 25.5%, Memory: 2165.23 MB (32.0%)
CPU: 26.3%, Memory: 2166.22 MB (32.0%)
CPU: 25.5%, Memory: 2166.46 MB (32.0%)
CPU: 26.2%, Memory: 2166.96 MB (32.0%)
CPU: 25.4%, Memory: 2166.96 MB (32.0%)
CPU: 26.0%, Memory: 2167.45 MB (32.0%)
CPU: 28.7%, Memory: 2174.80 MB (32.1%)
CPU: 25.8%, Memory: 2174.80 MB (32.1%)
CPU: 25.7%, Memory: 2174.80 MB (32.1%)
CPU: 25.5%, Memory: 2174.80 MB (32.1%)
CPU: 25.6%, Memory: 2174.80 MB (32.1%)
CPU: 25.4%, Memory: 2174.80 MB (32.1%)
CPU: 25.8%, Memory: 2174.80 MB (32.1%)
CPU: 25.5%, Memory: 2174.80 MB (32.1%)
CPU: 25.8%, Memory: 2175.04 MB (32.1%)
CPU: 25.5%, Memory: 2175.04 MB (32.1%)
CPU: 26.3%, Memory: 2175.04 MB (32.1%)
CPU: 25.9%, Memory: 2175.04 MB (32.1%)
CPU: 25.8%, Memory: 2175.29 MB (32.1%)
CPU: 25.7%, Memory: 2175.44 MB (32.1%)
CPU: 25.4%, Memory: 2175.29 MB (32.1%)
CPU: 25.5%, Memory: 2175.29 MB (32.1%)
CPU: 25.5%, Memory: 2175.29 MB (32.1%)
CPU: 25.6%, Memory: 2175.29 MB (32.1%)
CPU: 25.5%, Memory: 2175.29 MB (32.1%)
CPU: 25.9%, Memory: 2175.29 MB (32.1%)
CPU: 25.3%, Memory: 2175.29 MB (32.1%)
CPU: 25.6%, Memory: 2175.29 MB (32.1%)
CPU: 25.5%, Memory: 2175.29 MB (32.1%)
CPU: 26.0%, Memory: 2175.29 MB (32.1%)
CPU: 25.6%, Memory: 2175.29 MB (32.1%)
CPU: 26.0%, Memory: 2175.54 MB (32.1%)
CPU: 25.4%, Memory: 2175.54 MB (32.1%)
CPU: 26.0%, Memory: 2175.78 MB (32.1%)
CPU: 25.6%, Memory: 2175.78 MB (32.1%)
CPU: 25.7%, Memory: 2175.78 MB (32.1%)
CPU: 25.6%, Memory: 2175.78 MB (32.1%)
CPU: 25.5%, Memory: 2176.03 MB (32.1%)
CPU: 25.8%, Memory: 2176.03 MB (32.1%)
CPU: 25.4%, Memory: 2176.03 MB (32.1%)
CPU: 25.8%, Memory: 2176.03 MB (32.1%)
CPU: 25.5%, Memory: 2176.03 MB (32.1%)
CPU: 26.3%, Memory: 2176.27 MB (32.1%)
CPU: 25.9%, Memory: 2176.27 MB (32.1%)
CPU: 25.3%, Memory: 2176.27 MB (32.1%)
CPU: 26.0%, Memory: 2176.51 MB (32.1%)
CPU: 25.9%, Memory: 2176.51 MB (32.1%)
CPU: 25.9%, Memory: 2176.76 MB (32.1%)
CPU: 25.7%, Memory: 2176.76 MB (32.1%)
CPU: 25.8%, Memory: 2176.76 MB (32.1%)
CPU: 25.3%, Memory: 2176.76 MB (32.1%)
CPU: 26.1%, Memory: 2177.00 MB (32.1%)
CPU: 25.7%, Memory: 2177.00 MB (32.1%)
CPU: 25.6%, Memory: 2177.25 MB (32.1%)
CPU: 25.3%, Memory: 2177.25 MB (32.1%)
CPU: 26.3%, Memory: 2177.50 MB (32.1%)
CPU: 25.3%, Memory: 2177.50 MB (32.1%)
CPU: 26.1%, Memory: 2177.50 MB (32.1%)
CPU: 25.8%, Memory: 2177.74 MB (32.1%)
CPU: 25.2%, Memory: 2177.74 MB (32.1%)
CPU: 26.2%, Memory: 2177.99 MB (32.1%)
CPU: 25.5%, Memory: 2177.99 MB (32.1%)
CPU: 25.7%, Memory: 2178.23 MB (32.1%)
CPU: 25.5%, Memory: 2178.23 MB (32.1%)
CPU: 26.1%, Memory: 2178.23 MB (32.1%)
CPU: 25.8%, Memory: 2178.23 MB (32.1%)
