Learning Rate,Batch Size,K,Accuracy,Precision,Recall,F-score,Time
0.01,128,3,0.9903,0.9272,0.9982,0.9613,0 hours 27 minutes 29 seconds
0.01,128,4,0.9907,0.9285,1,0.963,0 hours 27 minutes 24 seconds
0.01,128,5,0.991,0.931,1,0.9643,0 hours 27 minutes 27 seconds
0.001,128,3,0.9904,0.9288,0.9978,0.9602,0 hours 27 minutes 26 seconds
0.001,128,4,0.9895,0.9218,0.9982,0.9585,0 hours 27 minutes 30 seconds
0.001,128,5,0.9899,0.9249,0.9982,0.9601,0 hours 27 minutes 30 seconds
0.0001,128,3,0.9841,0.8841,1,0.9385,0 hours 27 minutes 34 seconds
0.0001,128,4,0.9803,0.8601,1,0.9248,0 hours 27 minutes 36 seconds
0.0001,128,5,0.9883,0.9123,1,0.9541,0 hours 27 minutes 37 seconds
,,,,,,,
0.01,256,3,0.9903,0.9274,0.9982,0.9615,0 hours 27 minutes 9 seconds
0.01,256,4,0.9907,0.9285,1,0.9629,0 hours 26 minutes 39 seconds
0.01,256,5,0.9906,0.9284,1,0.9629,0 hours 26 minutes 42 seconds
0.001,256,3,0.9909,0.9301,1,0.9638,0 hours 26 minutes 45 seconds
0.001,256,4,0.9911,0.9317,1,0.9646,0 hours 26 minutes 42 seconds
0.001,256,5,0.9908,0.9313,0.9978,0.9634,0 hours 26 minutes 39 seconds
0.0001,256,3,0.9875,0.9068,1,0.9511,0 hours 26 minutes 39 seconds
0.0001,256,4,0.9876,0.9072,1,0.9514,0 hours 26 minutes 37 seconds
0.0001,256,5,0.9888,0.9155,1,0.9559,0 hours 26 minutes 35 seconds
,,,,,,,
0.01,512,3,0.9906,0.9298,0.9978,0.9626,0 hours 26 minutes 23 seconds
0.01,512,4,0.9909,0.9301,1,0.9638,0 hours 26 minutes 20 seconds
0.01,512,5,0.9906,0.9302,0.9978,0.9628,0 hours 26 minutes 19 seconds
0.001,512,3,0.9775,0.8437,1,0.9152,0 hours 26 minutes 23 seconds
0.001,512,4,0.9802,0.8755,0.9754,0.9228,0 hours 26 minutes 26 seconds
0.001,512,5,0.9838,0.8823,1,0.9375,0 hours 26 minutes 24 seconds
0.0001,512,3,0.9832,0.8786,1,0.9354,0 hours 26 minutes 26 seconds
0.0001,512,4,0.9843,0.8852,1,0.9391,0 hours 26 minutes 24 seconds
0.0001,512,5,0.98,0.8598,0.9982,0.9238,0 hours 26 minutes 34 seconds
