PID,Name
 , 
6571,nm-dispatcher
 , 
6571,nm-dispatcher
6579,sh
6580,cpuUsage.sh
6584,sleep
 , 
6571,nm-dispatcher
 , 
6571,nm-dispatcher
6594,sh
6595,cpuUsage.sh
6599,sleep
 , 
6571,nm-dispatcher
6606,python
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
6645,sh
6646,cpuUsage.sh
6650,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
6660,sh
6661,cpuUsage.sh
6665,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
6705,sh
6706,cpuUsage.sh
6710,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
6720,sh
6721,cpuUsage.sh
6725,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
6755,git
6756,git-remote-https
6758,git
6759,git-remote-https
6802,git
6833,sh
6834,cpuUsage.sh
6838,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
6914,sh
6915,cpuUsage.sh
6919,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
6929,sh
6930,cpuUsage.sh
6934,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
6974,sh
6975,cpuUsage.sh
6979,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
6989,sh
6990,cpuUsage.sh
6994,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7001,git
7002,git-remote-https
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7001,git
7002,git-remote-https
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7036,git
7078,git
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7104,sh
7105,cpuUsage.sh
7109,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7119,sh
7120,cpuUsage.sh
7124,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7168,sh
7169,cpuUsage.sh
7173,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7183,sh
7184,cpuUsage.sh
7188,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7214,systemd-hostnamed
7215,kworker/3:1-rcu_par_gp
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7214,systemd-hostnamed
7215,kworker/3:1-rcu_par_gp
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7214,systemd-hostnamed
7215,kworker/3:1-rcu_par_gp
7236,sh
7237,cpuUsage.sh
7241,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7214,systemd-hostnamed
7215,kworker/3:1-rcu_par_gp
7253,sh
7254,cpuUsage.sh
7258,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7214,systemd-hostnamed
7215,kworker/3:1-rcu_par_gp
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7214,systemd-hostnamed
7215,kworker/3:1-rcu_par_gp
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7214,systemd-hostnamed
7215,kworker/3:1-rcu_par_gp
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7214,systemd-hostnamed
7215,kworker/3:1-rcu_par_gp
7299,sh
7300,cpuUsage.sh
7304,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7214,systemd-hostnamed
7215,kworker/3:1-rcu_par_gp
7314,sh
7315,cpuUsage.sh
7319,sleep
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7214,systemd-hostnamed
7215,kworker/3:1-rcu_par_gp
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7214,systemd-hostnamed
7215,kworker/3:1-rcu_par_gp
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7214,systemd-hostnamed
7215,kworker/3:1-rcu_par_gp
 , 
6606,pt_main_thread
6622,kworker/1:0-events
7214,systemd-hostnamed
7215,kworker/3:1-rcu_par_gp
